date,aod_ask,aod_wcus,aod_acn,aod_acs,aod_gp,aod_ice,aod_sva,date,aod_sav,aod_rac,aod_na,aod_ce,aod_cme,aod_ca,aod_saw,aod_sae,aod_lol,aod_san,aod_nz,aod_as
2000/2/24,148.470487557127,151.591705100906,350,271.610465116279,112.750942980298,,,2000/2/24,,,115.462637202189,,,,,,156.969319800677,131.562606469222,67.2186694281801,77.5554362086867
2000/2/25,214.219194045856,134.753992520061,330.5,246.59375,102.999220841042,172.563298167685,,2000/2/25,99.6523355725668,,145.835726138732,149.093453847433,,97.5590639951998,,54.4533581633027,147.819496138615,152.163831641537,137.202623316525,67.9069742597055
2000/2/26,124.254934019431,127.138823616678,,,171.87334837587,116.383198280096,,2000/2/26,106.841326313699,176.195598721416,162.220829379371,112.652123837807,348.523012552301,185.242552260409,62.2993797014485,185.331565344762,151.124212693295,129.124603325628,72.5969397760885,127.108251926892
2000/2/27,126.476094548551,150.338504521997,,,84.7631299119536,,,2000/2/27,45.3885187933957,154.383333333333,160.093952617738,124.22491034533,275.654684424281,88.2491288376581,114.079005162839,81.1655068218428,170.202157360379,138.089959273841,36.6689507153624,83.0193722506553
2000/2/28,182.897507137049,182.316993858302,,,119.782164540068,153.427049434372,,2000/2/28,114.443722049534,263,169.682685853733,211.21521977222,285.584901592269,103.122537351379,65.562095278148,108.939583265258,211.697142860162,105.13646464818,91.477899339896,106.394155095913
2000/2/29,160.165215903691,160.775793508886,,240.465893775351,92.1292376445693,116.457768920164,,2000/2/29,133.194863903503,218.851515151515,185.425113320104,268,180.92234548336,104.869678736598,100.080065996362,101.998544911649,96.4622205672735,75.7408044945654,143.865998761229,102.298915891866
2000/3/1,108.870818522615,136.702439641731,251.666666666667,286.664421866127,134.012404558212,159.945036052294,,2000/3/1,83.8543281339896,,174.030777714037,,233.179463480117,83.6419761926825,48.8196370184792,152.303889622297,152.732169501665,77.4059520075669,24.5825807946818,94.1978240888938
2000/3/2,133.557359370701,136.6926168754,386,329,174.506095719566,164.757067610189,135.5,2000/3/2,87.0504634910781,247.87037037037,233.031968052979,130.098741222502,251.701858631371,112.127820801908,136.10320456481,80.8666061985357,146.203534610363,97.4062761849056,205.002320639238,81.009274352853
2000/3/3,181.866197916015,122.263214294695,239.5,288.410256410256,134.205442176871,130.739861067481,272.024439102564,2000/3/3,105.552207144566,99.303777287221,151.373547192071,106.233907811788,198.180193769463,94.6049713193154,19.1897579279848,84.8695582983377,139.234941537591,103.72876390853,61.446971450139,80.1000160082679
2000/3/4,149.081126635496,99.8536232715115,189.194444444444,257.833333333333,148.054944074942,,122.361755711459,2000/3/4,196.19628170577,209.431120162808,191.261854898986,135.241984780566,326.704402515723,178.287800386424,14.0049788224665,127.850874203256,202.75919787937,96.3746098648058,85.7537682804903,95.08669455412
