date,ask_C,ask_mm,wcus_C,wcus_mm,acn_C,acn_mm,acs_C,acs_mm,gp_C,gp_mm,ice_C,ice_mm,sva_C,sva_mm,sav_C,sav_mm,rac_C,rac_mm,na_C,na_mm,ce_C,ce_mm,cme_C,cme_mm,ca_C,ca_mm,saw_C,saw_mm,sae_C,sae_mm,lol_C,lol_mm,san_C,san_mm,nz_C,nz_mm,as_C,as_mm
20/1/2000,-11.88197936,3.567396285,-14.76620477,1.436345146,-37.48553701,0.005932822,-31.13325185,2.398447761,-31.1306021,2.155034839,-3.845265594,0.513582709,-25.01176244,0.832545966,-10.22899209,8.091456979,-29.1156593,0.443818295,-25.49710341,1.207639149,-13.58119244,0.084744348,-15.57756232,9.766344826,-22.51939566,0.574184848,-26.93188733,0.029213558,-16.35105209,3.077072872,4.114381806,6.223387261,1.072345322,19.66964449,9.624384767,5.361019393,-7.831584418,1.124177653
21/1/2000,-13.10561873,0.599775777,-13.80177568,1.071372696,-35.86815207,0.014116183,-27.67922757,1.768350139,-29.13947372,1.104072125,-4.317507527,2.779765602,-25.64889909,0.29260339,-14.42882254,1.370371675,-28.68758348,0.567532895,-27.03566708,0.335564935,-12.56779181,1.951732716,-20.35041085,0.826033173,-22.70145396,0.17485257,-26.6054775,0.502464832,-17.14846846,2.465551851,4.287871635,4.07087077,0.774100083,4.915966689,10.1005307,38.47638875,-8.001312006,1.155053463
22/1/2000,-12.09652495,2.977977823,-13.9340193,0.35169655,-36.90323951,0.006675981,-25.93105714,1.877603979,-26.82263748,1.501946668,-6.622606197,0.219192566,-26.09031275,0.224948706,-14.27462499,1.164069498,-25.85888029,1.268395621,-28.0330432,0.223378318,-13.77888969,5.042231073,-19.23556439,8.382304499,-22.47681668,0.341780466,-26.76723048,0.631165133,-17.85241221,2.149404557,5.007816136,7.68606925,2.310854565,16.12970264,9.405359987,12.13138487,-6.374645709,1.78206619
23/1/2000,-12.22367199,3.10269958,-13.97855408,0.139652979,-36.62375099,0.03403482,-25.95814413,4.586293937,-27.11970516,2.211396699,-2.342524524,0.397755317,-22.77551761,1.019710885,-14.87018789,1.495086169,-24.79176634,0.872983138,-29.16338057,0.314736203,-14.56425334,6.348055379,-21.13315508,0.940994135,-22.5294628,0.34446955,-27.86129773,0.295367022,-17.85127384,1.333604071,4.589300156,14.42047415,1.06495315,19.16483129,8.280341574,63.58385178,-6.082626109,0.781336271
24/1/2000,-10.60968007,11.46374011,-14.64891344,0.094211408,-37.04563296,0.185765043,-28.26633826,0.907080642,-25.79895378,1.956949479,-1.370906757,0.150362465,-17.32741549,2.584502529,-9.925782017,2.60614448,-27.58628156,0.634562564,-28.24077277,0.371491734,-16.80219209,1.090695572,-16.06449877,0.048008633,-22.56618046,0.509857452,-27.43460673,0.946007689,-17.71584864,1.364236925,4.494013351,9.081171673,1.999995854,5.515818144,5.353685736,14.72331169,-6.877803131,1.118365166
25/1/2000,-11.60411196,17.24983489,-12.99537529,1.067285716,-37.84711848,0.230568147,-34.37061317,0.068874417,-27.68828158,0.598187156,-2.918697677,2.351523162,-17.97657785,0.527185623,-5.3572416,5.550870351,-23.4996772,1.137597087,-27.05547806,0.270395888,-19.08900285,0.057574323,-11.887919,12.34224023,-22.09922206,0.667741276,-24.50511217,3.343880504,-17.50307485,2.865128781,4.289965528,10.7291581,4.176896247,20.6680125,3.960102215,2.026597325,-5.738722302,1.998533024
26/1/2000,-12.97128554,11.13610816,-10.54445518,1.943361137,-38.96616061,0.094791859,-34.49717587,0.129634288,-29.06257872,0.585896549,-7.659997766,3.154827679,-21.14262291,1.147820346,-5.333895357,10.52439193,-20.17729678,1.392972506,-27.15610338,0.141214263,-16.17186966,0.001516884,-15.63969037,5.010119433,-21.94050278,0.333478413,-23.88588425,1.533624858,-16.82375526,2.329097069,4.190835613,7.950906587,4.059859525,1.47855767,6.105574061,1.06263127,-6.155615944,1.79970537
27/1/2000,-11.11644364,33.13170082,-9.822125034,2.055435845,-37.63721897,0.043869977,-33.27383675,0.367044672,-32.12179117,0.667281794,-12.50415254,0.457934867,-22.6828326,1.629613445,-9.174808974,10.19094022,-19.28876679,1.234651416,-28.29463164,0.064360655,-13.24993405,0.059701936,-19.7119028,0.970197287,-22.8902275,0.34394794,-27.50917272,0.175847367,-18.05431643,2.587907712,4.11484653,9.266659921,5.599524047,23.97828332,6.434579652,3.244384176,-5.748418313,1.324739506
28/1/2000,-12.5832392,16.30964835,-8.914855076,3.467876835,-35.39538706,0.013062277,-30.40722275,0.714892582,-34.18451303,0.278766803,-10.75316858,20.02139042,-21.96492734,2.426122105,-11.51874034,3.743597557,-22.00951744,0.738343216,-27.65228589,0.158312383,-14.61865419,0.012195255,-19.53120066,0.211774655,-23.2217031,0.494012539,-28.88243965,0.018655593,-19.19413184,3.042333997,4.21600277,9.521122327,4.385210703,20.17232702,7.335096607,3.43147632,-5.712800321,1.029093213
29/1/2000,-13.28316072,15.02095522,-8.34500009,1.308989197,-34.3951067,0.008792184,-31.95501973,0.464042825,-33.82138429,0.53552505,-13.60170067,7.611408333,-19.89878982,1.658870992,-12.48408481,12.045067,-22.25423316,0.80306963,-27.81822557,0.188715259,-12.58826204,8.118789106,-16.38711218,0.071055417,-21.48953787,0.680459629,-26.18794482,0.058465371,-18.96050131,2.021239986,4.244437455,10.85811154,2.038187604,15.10238156,7.555197732,64.56212697,-5.760499659,2.082909944
